Date_Time,Charge_Capacity(Ah),Voltage(V),Current(A)
06-06-2018 00:38,2.389819145,4.400024891,0.678165436
06-06-2018 00:39,2.40586257,4.399940968,0.652010918
06-06-2018 00:41,2.405863523,4.276958942,0
06-06-2018 00:43,2.405863523,4.264688969,0
06-06-2018 00:44,2.405863523,4.261469364,0
06-06-2018 00:46,2.405863523,3.884046078,-2.281879425
06-06-2018 00:48,2.405863523,3.834507465,-2.282143593
06-06-2018 00:50,2.405863523,3.794691563,-2.281827927
06-06-2018 00:52,2.405863523,3.7581563,-2.28213501
06-06-2018 00:54,2.405863523,3.723252773,-2.281859398
06-06-2018 00:56,2.405863523,3.689957142,-2.282107353
06-06-2018 00:58,2.405863523,3.658249378,-2.282155037
06-06-2018 01:00,2.405863523,3.628338337,-2.282094002
06-06-2018 01:02,2.405863523,3.600605488,-2.282075882
06-06-2018 01:04,2.405863523,3.575048923,-2.282112122
06-06-2018 01:06,2.405863523,3.550889492,-2.282165527
06-06-2018 01:08,2.405863523,3.528067112,-2.282154083
06-06-2018 01:10,2.405863523,3.506003857,-2.282203674
06-06-2018 01:12,2.405863523,3.484917164,-2.281932831
06-06-2018 01:14,2.405863523,3.46498251,-2.28178978
06-06-2018 01:16,2.405863523,3.44615984,-2.282115936
06-06-2018 01:18,2.405863523,3.428240299,-2.282161713
06-06-2018 01:20,2.405863523,3.411170483,-2.281796455
06-06-2018 01:22,2.405863523,3.394478321,-2.282152176
06-06-2018 01:24,2.405863523,3.377790928,-2.282095909
06-06-2018 01:26,2.405863523,3.36136198,-2.2821455
06-06-2018 01:28,2.405863523,3.344850063,-2.281839371
06-06-2018 01:30,2.405863523,3.32726717,-2.282060623
06-06-2018 01:32,2.405863523,3.308769703,-2.282147408
06-06-2018 01:34,2.405863523,3.288235188,-2.28216362
06-06-2018 01:36,2.405863523,3.26499033,-2.28208065
06-06-2018 01:38,2.405863523,3.237555027,-2.282167435
06-06-2018 01:40,2.405863523,3.205682278,-2.281861305
06-06-2018 01:42,2.405863523,3.167107105,-2.282185555
06-06-2018 01:44,2.405863523,3.119250774,-2.28190136
06-06-2018 01:46,2.405863523,3.05932188,-2.281897545
06-06-2018 01:48,2.405863523,2.999991894,-2.282132149
06-06-2018 01:50,2.405863523,3.639807224,0
06-06-2018 01:52,2.405863523,3.667018414,0
06-06-2018 01:53,2.405863523,3.673392773,0
06-06-2018 01:55,0.126839072,4.199996471,3.292324066
06-06-2018 01:55,0.13562268,4.200033665,3.259992599
06-06-2018 01:57,0.244031698,4.235296726,3.260080338
06-06-2018 01:59,0.35269931,4.263970852,3.260063171
06-06-2018 02:01,0.46137324,4.286584377,3.260072708
06-06-2018 02:03,0.570047557,4.309790134,3.260154724
06-06-2018 02:05,0.678718805,4.33536005,3.260124207
06-06-2018 02:07,0.787384093,4.363781452,3.26011467
06-06-2018 02:09,0.896052361,4.394591808,3.260164261
06-06-2018 02:11,1.001411796,4.400021076,3.035318375
06-06-2018 02:13,1.098539233,4.400000095,2.800210953
06-06-2018 02:15,1.188363075,4.400027752,2.595756531
06-06-2018 02:17,1.271927595,4.400002956,2.421632767
06-06-2018 02:19,1.350049734,4.399976254,2.269126892
06-06-2018 02:21,1.423436761,4.400039196,2.136167526
06-06-2018 02:23,1.492652535,4.400033474,2.020087242
06-06-2018 02:25,1.558236241,4.400017262,1.917172432
06-06-2018 02:27,1.620572925,4.399986744,1.823960304
06-06-2018 02:29,1.679921985,4.399966717,1.738319397
06-06-2018 02:31,1.736569047,4.399991512,1.661092758
06-06-2018 02:33,1.790694594,4.399982929,1.588224411
06-06-2018 02:35,1.842452526,4.399994373,1.517930031
06-06-2018 02:37,1.8919245,4.399968624,1.450152397
06-06-2018 02:39,1.939193845,4.399980068,1.386378288
06-06-2018 02:41,1.98437655,4.399977207,1.324334145
06-06-2018 02:43,2.027478456,4.399935246,1.262042999
06-06-2018 02:45,2.068549871,4.400008678,1.202486992
06-06-2018 02:47,2.107656002,4.399979115,1.144094467
06-06-2018 02:49,2.144844055,4.400008678,1.088576317
06-06-2018 02:51,2.180228949,4.400012493,1.035593987
06-06-2018 02:53,2.213896751,4.399991512,0.983865738
06-06-2018 02:55,2.245856762,4.399942875,0.934202194
06-06-2018 02:57,2.276227236,4.399981022,0.887412071
06-06-2018 02:59,2.305056095,4.400061131,0.84223938
06-06-2018 03:01,2.332391977,4.399991512,0.798219681
06-06-2018 03:03,2.358264446,4.399981976,0.754746437
06-06-2018 03:05,2.382732153,4.400007725,0.714254379
06-06-2018 03:07,2.405882597,4.399937153,0.675368309
06-06-2018 03:08,2.419509411,4.400000095,0.651937485
06-06-2018 03:10,2.419513702,4.276760578,0
06-06-2018 03:12,2.419513702,4.264429569,0
06-06-2018 03:13,2.419513702,4.261219501,0
06-06-2018 03:15,2.419513702,3.885797024,-2.282188416
06-06-2018 03:17,2.419513702,3.837329388,-2.281984329
06-06-2018 03:19,2.419513702,3.798402309,-2.282176971
06-06-2018 03:21,2.419513702,3.76237154,-2.281821251
06-06-2018 03:23,2.419513702,3.728026867,-2.282112122
06-06-2018 03:25,2.419513702,3.694965839,-2.281856537
06-06-2018 03:27,2.419513702,3.663544178,-2.282193184
06-06-2018 03:29,2.419513702,3.633948803,-2.282156944
06-06-2018 03:31,2.419513702,3.606416225,-2.282114029
06-06-2018 03:33,2.419513702,3.580521107,-2.282109261
06-06-2018 03:35,2.419513702,3.556589603,-2.282110214
06-06-2018 03:37,2.419513702,3.533633709,-2.282130241
06-06-2018 03:39,2.419513702,3.511934757,-2.281977654
06-06-2018 03:41,2.419513702,3.490888119,-2.282141685
06-06-2018 03:43,2.419513702,3.471613407,-2.282065392
06-06-2018 03:45,2.419513702,3.452991962,-2.282160759
06-06-2018 03:47,2.419513702,3.435112476,-2.282132149
06-06-2018 03:49,2.419513702,3.417654514,-2.282168388
06-06-2018 03:51,2.419513702,3.400372982,-2.282168388
06-06-2018 03:53,2.419513702,3.383616924,-2.28212738
06-06-2018 03:55,2.419513702,3.3672328,-2.282132149
06-06-2018 03:57,2.419513702,3.350013256,-2.2821455
06-06-2018 03:59,2.419513702,3.332287312,-2.282105446
06-06-2018 04:01,2.419513702,3.314222813,-2.282155037
06-06-2018 04:03,2.419513702,3.29351759,-2.281737328
06-06-2018 04:05,2.419513702,3.270375729,-2.282107353
06-06-2018 04:07,2.419513702,3.243798733,-2.282115936
06-06-2018 04:09,2.419513702,3.21225214,-2.282078743
06-06-2018 04:11,2.419513702,3.173447132,-2.282154083
06-06-2018 04:13,2.419513702,3.12535429,-2.282156944
06-06-2018 04:15,2.419513702,3.065001011,-2.282143593
06-06-2018 04:17,2.419513702,2.999983311,-2.282037735
06-06-2018 04:19,2.419513702,3.637995243,0
06-06-2018 04:21,2.419513702,3.665720463,0
06-06-2018 04:22,2.419513702,3.672300816,0
06-06-2018 04:24,0.12647438,4.200023174,3.284090042
06-06-2018 04:24,0.133394167,4.200043201,3.25998497
06-06-2018 04:26,0.241810799,4.234578609,3.260131836
06-06-2018 04:28,0.350479096,4.26323843,3.260087967
06-06-2018 04:30,0.459141642,4.286813259,3.260070801
06-06-2018 04:32,0.567820668,4.309906483,3.260030746
06-06-2018 04:34,0.676490545,4.335416317,3.260036469
06-06-2018 04:36,0.785161018,4.363808155,3.260105133
06-06-2018 04:38,0.893820643,4.3945508,3.260126114
06-06-2018 04:40,0.999204934,4.399981976,3.036657333
06-06-2018 04:42,1.096524954,4.399976254,2.807632446
06-06-2018 04:44,1.186660051,4.399958134,2.606519699
06-06-2018 04:46,1.270514727,4.400008678,2.432598114
06-06-2018 04:48,1.349035859,4.39994669,2.282083511
06-06-2018 04:50,1.422904134,4.399952412,2.151926041
06-06-2018 04:52,1.492657065,4.399979115,2.033738136
06-06-2018 04:54,1.558705688,4.400042057,1.928944588
06-06-2018 04:56,1.621413469,4.400010586,1.835577011
06-06-2018 04:58,1.68117559,4.400008678,1.74936676
06-06-2018 05:00,1.738126755,4.399988651,1.667865753
06-06-2018 05:02,1.792453527,4.399978161,1.591629028
06-06-2018 05:04,1.844317555,4.400030613,1.520537376
06-06-2018 05:06,1.893867731,4.399981976,1.452754974
06-06-2018 05:08,1.941221833,4.400042057,1.38909626
06-06-2018 05:10,1.986501694,4.400034428,1.328598022
06-06-2018 05:12,2.029784679,4.399936199,1.268854141
