Date_Time,Voltage(V),Charge_Capacity(Ah)
05-17-2018 02:34:29.194,4.399952412,1.728955865
05-17-2018 02:36:29.194,4.40002203,1.782176852
05-17-2018 02:38:29.196,4.400019169,1.832310557
05-17-2018 02:40:29.195,4.400018215,1.879539967
05-17-2018 02:42:29.198,4.400022984,1.924070835
05-17-2018 02:44:29.197,4.399999142,1.966077924
05-17-2018 02:46:29.194,4.400005817,2.005748272
05-17-2018 02:48:29.199,4.399960041,2.043168545
05-17-2018 02:50:29.195,4.39995718,2.07849431
05-17-2018 02:52:29.195,4.400000095,2.111828089
05-17-2018 02:54:29.201,4.400063038,2.143275261
05-17-2018 02:56:29.197,4.400033474,2.172953606
05-17-2018 02:58:29.196,4.399969578,2.200980186
05-17-2018 03:00:29.197,4.399992466,2.227439165
05-17-2018 03:02:29.195,4.399997234,2.252430439
05-17-2018 03:04:29.197,4.399976254,2.276034117
05-17-2018 03:06:14.466,4.399994373,2.295660257
05-17-2018 03:08:14.519,4.275660992,2.29566288
05-17-2018 03:10:14.522,4.262977123,2.29566288
05-17-2018 03:11:14.520,4.259709835,2.29566288
05-17-2018 03:13:14.608,3.754060268,2.29566288
05-17-2018 03:15:14.612,3.704005718,2.29566288
05-17-2018 03:17:14.611,3.660256863,2.29566288
05-17-2018 03:19:14.611,3.616000652,2.29566288
05-17-2018 03:21:14.608,3.573440075,2.29566288
05-17-2018 03:23:14.608,3.533871174,2.29566288
05-17-2018 03:25:14.608,3.496869564,2.29566288
05-17-2018 03:27:14.608,3.462418079,2.29566288
05-17-2018 03:29:14.608,3.430858135,2.29566288
05-17-2018 03:31:14.612,3.401479244,2.29566288
05-17-2018 03:33:14.610,3.373500347,2.29566288
05-17-2018 03:35:14.610,3.346216679,2.29566288
05-17-2018 03:37:14.612,3.320477962,2.29566288
05-17-2018 03:39:14.610,3.29517889,2.29566288
05-17-2018 03:41:14.610,3.268223286,2.29566288
05-17-2018 03:43:14.607,3.239087582,2.29566288
05-17-2018 03:45:14.611,3.206670284,2.29566288
05-17-2018 03:47:14.611,3.170257092,2.29566288
05-17-2018 03:49:14.609,3.127360821,2.29566288
05-17-2018 03:51:14.608,3.076455593,2.29566288
05-17-2018 03:53:14.608,3.012549877,2.29566288
05-17-2018 03:53:34.705,2.999999523,2.29566288
05-17-2018 03:55:34.856,3.669411182,2.29566288
05-17-2018 03:57:34.854,3.696414471,2.29566288
05-17-2018 03:58:34.857,3.700869083,2.29566288
05-17-2018 04:00:34.956,4.199982166,0.132808924
05-17-2018 04:01:17.128,4.200020313,0.171914339
05-17-2018 04:03:17.146,4.230149746,0.280363858
05-17-2018 04:05:17.149,4.249589443,0.388906568
05-17-2018 04:07:17.146,4.267038822,0.497684896
05-17-2018 04:09:17.144,4.287871838,0.606324315
